"suite","method","reps","rows","ks_mean","ks_se","w1_mean","w1_se","coverage","mean_error","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","accept_median","acf1_mean","acf10_mean"
"extreme","P-IG Gibbs",40,40,0.0141196213265456,0.000773046567897485,0.000168422398904422,1.53967735749063e-05,1,0.00213627300919078,0.70171851904289,602.748649160241,5.87299999999959,5.98340000000016,NA,0.0700465955981514,-0.00059894911112265
"extreme","Slice-log-alpha",40,40,0.0130665151757172,0.000711806559758115,0.000159648159603259,1.40199333832099e-05,1,0.00211979757042359,0.8,20525.8715749085,0.188000000000017,0.20830000000002,NA,0.00459749435905388,5.36298257632764e-05
"extreme","Miller-IMH",40,40,0.0136744092855375,0.000679806163478686,0.000154848332779492,1.29572226353376e-05,1,0.00210507921177685,0.8,48780.4878048818,0.0819999999999936,0.101899999999998,0.9984,0.00497822298315362,0.00276196929781263
"extreme","Miller-Gamma",40,40,0.000649341157128384,4.12208158928912e-05,2.24986369530856e-05,2.40083036411763e-06,1,0.00210657832587687,NA,NA,0.00300000000001432,0.00499999999999545,NA,NA,NA
"extreme","Stirling-Gamma",40,40,0.964496826066342,0.0023064043414452,0.0300727718110103,0.00139837994127884,0,-0.027943694735492,NA,NA,0.00399999999999068,0.00600000000000023,NA,NA,NA
"main","P-IG Gibbs",3600,3600,0.0432752513185915,0.000875826339762988,0.420623971983659,0.0336352431628974,0.900277777777778,1.50580438017248,0.0807309428613648,77.8153027091572,3.92400000000001,18.923,NA,0.677096459044829,0.317499963365647
"main","Slice-log-alpha",3600,3600,0.014344859842671,7.19272731903906e-05,0.0354238269097936,0.00163259047234869,0.906111111111111,1.51739240387558,0.8,19535.2779208482,0.202999999999999,0.278999999999996,NA,0.00383910133356712,1.80148639150884e-05
"main","Miller-IMH",3600,3600,0.0137027977417703,7.04124232183984e-05,0.0312120288396855,0.00133627626317178,0.906666666666667,1.51737547025312,0.8,46511.6279069775,0.0840000000000032,0.125999999999991,0.9972,0.0113313912120987,0.000103019231002468
"main","Miller-Gamma",3600,3600,0.00244640522107205,4.02703551941799e-05,0.00463983676961075,0.000100720622126819,0.908888888888889,1.51171070949875,NA,NA,0.00399999999999068,0.00600000000000023,NA,NA,NA
"main","Stirling-Gamma",3600,3600,0.335788643580575,0.0055425244797699,0.120825371259371,0.000683805728378954,0.7375,1.39541536469202,NA,NA,0.00300000000001432,0.00600000000000023,NA,NA,NA
