"cell_id","cell","alpha_true","n","n_iter","burnin","rep","x_a","x_g","delta_post","mu_ratio","method","status","ks","w1","mean","var","ci_low","ci_high","cover","ess","ess_per_iter","ess_per_sec","acf1","acf10","runtime_sec","accept_rate","avg_evals","pig_N","n_save","message"
1,"low-shape",0.1,100,NA,NA,NA,0.0536004709573572,1.14401370585374e-05,100,4685.29972002012,"Miller-Gamma","ok",0.00470116484535787,0.000106575416496234,0.0980818907166916,0.000103377961877208,0.079170235576712,0.118988588893248,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1,"low-shape",0.1,100,NA,NA,NA,0.0536004709573572,1.14401370585374e-05,100,4685.29972002012,"Stirling-Gamma","ok",0.952934880576591,0.0370445529995405,0.0609309888299293,7.20890368891839e-05,0.045437128183907,0.0786629012424511,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"moderate-shape",5,50,NA,NA,NA,5.17628762783593,4.7762061872935,50,1.08376552955498,"Miller-Gamma","ok",0.00408340726283329,0.0115002275875518,6.74189482345764,1.6391206255465,4.47014175290586,9.47299066826186,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"moderate-shape",5,50,NA,NA,NA,5.17628762783593,4.7762061872935,50,1.08376552955498,"Stirling-Gamma","ok",0.0451821033476918,0.141923208693152,6.58863252144567,1.63811616991138,4.32317829623414,9.32376834793424,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,"high-shape-large-n",20,500,NA,NA,NA,19.7471401368752,19.2324313618892,500,1.02676254319077,"Miller-Gamma","ok",0.00623764154098438,0.0185658357494545,19.2095295381211,1.44235514321935,16.9275541653387,21.6336995900023,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,"high-shape-large-n",20,500,NA,NA,NA,19.7471401368752,19.2324313618892,500,1.02676254319077,"Stirling-Gamma","ok",0.0484827190979597,0.145645551127729,19.0453182607182,1.44224313181728,16.7640552453752,21.4699901418355,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1,"low-shape",0.1,100,200,40,1,0.0536004709573572,1.14401370585374e-05,100,4685.29972002012,"P-IG Gibbs","ok",0.0817698066637538,0.00159767207037353,0.0987213553129508,7.56294341747418e-05,0.0815401565763248,0.116504698558976,TRUE,160,0.8,800,0.10476756281684,-0.028520367407192,0.2,NA,NA,200,160,""
1,"low-shape",0.1,100,500,100,1,0.0536004709573572,1.14401370585374e-05,100,4685.29972002012,"P-IG Gibbs","ok",0.043244000111444,0.000666267869705653,0.0985944918113719,0.000106214792164691,0.0792141819832003,0.120820666936635,TRUE,306.016370740286,0.612032741480571,644.24499103218,0.1318855240717,-0.0479651263677459,0.475,NA,NA,200,400,""
2,"moderate-shape",5,50,200,40,1,5.17628762783593,4.7762061872935,50,1.08376552955498,"P-IG Gibbs","ok",0.133789711689728,0.361506878491472,6.7804882785727,0.722436118305111,5.20681062531547,8.84638527995371,FALSE,9.05679284644491,0.0452839642322246,67.0873544181105,0.912727540244437,0.133750844015416,0.135,NA,NA,200,160,""
2,"moderate-shape",5,50,500,100,1,5.17628762783593,4.7762061872935,50,1.08376552955498,"P-IG Gibbs","ok",0.155605909125708,0.332552596621294,7.05670724603636,1.41823038177548,5.00281846502626,9.80751363265976,FALSE,7.24649893469194,0.0144929978693839,23.0780220850062,0.964324400776576,0.617971818256876,0.314,NA,NA,200,400,""
3,"high-shape-large-n",20,500,200,40,1,19.7471401368752,19.2324313618892,500,1.02676254319077,"P-IG Gibbs","ok",0.518576830707691,1.09554425033166,18.1538039649538,0.233638391000199,17.3519756151981,19.0641617065279,FALSE,4.0800863476411,0.0204004317382055,5.43287130178575,0.949960245953508,0.55228026928032,0.751,NA,NA,200,160,""
3,"high-shape-large-n",20,500,500,100,1,19.7471401368752,19.2324313618892,500,1.02676254319077,"P-IG Gibbs","ok",0.18562379109565,0.475399643332205,19.1302964252052,0.396380207221822,17.8937101822145,20.5166987978587,TRUE,5.60921666353306,0.0112184333270661,3.22183610771571,0.972273239571249,0.665120286309566,1.741,NA,NA,200,400,""
